Variable,All Mean,All SD,All N,Treated Mean,Treated SD,Treated N,Control Mean,Control SD,Control N,Low dep Mean,Low dep SD,Low dep N,High dep Mean,High dep SD,High dep N,Treated*Low Mean,Treated*Low SD,Treated*Low N,Treated*High Mean,Treated*High SD,Treated*High N,Control*Low Mean,Control*Low SD,Control*Low N,Control*High Mean,Control*High SD,Control*High N
New positions,     8.23,     5.35,2029,     8.64,     5.54,1035,     7.81,     5.11,994,     7.86,     5.61,986,     8.59,     5.06,1043,     9.16,     6.51,265,     8.46,     5.16,770,     7.39,     5.17,721,     8.93,     4.77,273
New positions (excl. promotions),     3.02,     2.65,2029,     3.15,     2.78,1035,     2.88,     2.49,994,     2.88,     2.65,986,     3.15,     2.64,1043,     3.48,     3.10,265,     3.04,     2.65,770,     2.66,     2.42,721,     3.45,     2.58,273
Internal promotions,     4.50,     3.62,2029,     4.72,     3.69,1035,     4.28,     3.53,994,     4.31,     3.81,986,     4.68,     3.42,1043,     4.89,     4.15,265,     4.66,     3.52,770,     4.10,     3.66,721,     4.74,     3.13,273
Temporary,     1.51,     1.85,2029,     1.56,     1.90,1035,     1.46,     1.79,994,     1.47,     1.95,986,     1.55,     1.74,1043,     1.83,     2.32,265,     1.47,     1.72,770,     1.34,     1.78,721,     1.77,     1.79,273
Tenure track,     1.56,     1.64,2029,     1.66,     1.71,1035,     1.45,     1.57,994,     1.46,     1.57,986,     1.65,     1.70,1043,     1.72,     1.84,265,     1.64,     1.66,770,     1.36,     1.46,721,     1.68,     1.81,273
Tenured,     0.83,     1.11,2029,     0.89,     1.17,1035,     0.76,     1.03,994,     0.77,     1.12,986,     0.88,     1.09,1043,     0.98,     1.39,265,     0.86,     1.08,770,     0.70,     0.99,721,     0.92,     1.11,273
# researchers -1,    68.04,    26.32,2029,    69.10,    25.94,1035,    66.95,    26.67,994,    67.27,    27.67,986,    68.77,    24.96,1043,    72.08,    30.15,265,    68.07,    24.26,770,    65.51,    26.51,721,    70.74,    26.79,273
# of transfers,     0.30,     1.11,2029,     0.32,     1.26,1035,     0.28,     0.93,994,     0.27,     1.04,986,     0.33,     1.17,1043,     0.31,     1.49,265,     0.32,     1.18,770,     0.26,     0.82,721,     0.34,     1.16,273
amount of research funding,    50.09,    31.59,2029,    47.82,    31.89,1035,    52.45,    31.12,994,    44.11,    31.13,986,    55.74,    31.00,1043,    32.29,    27.28,265,    53.16,    31.63,770,    48.45,    31.34,721,    63.00,    27.94,273
value added per capita,     2.98,     0.86,2029,     2.99,     0.86,1035,     2.97,     0.86,994,     2.88,     0.89,986,     3.07,     0.82,1043,     2.65,     0.90,265,     3.10,     0.82,770,     2.97,     0.87,721,     2.99,     0.83,273
unemployment rate,     9.73,     5.03,2029,     9.62,     4.88,1035,     9.85,     5.18,994,    10.47,     5.44,986,     9.03,     4.50,1043,    12.14,     6.03,265,     8.76,     4.07,770,     9.86,     5.08,721,     9.81,     5.46,273
dpt,     1.00,     0.00,290,     1.00,     0.00,148,     1.00,     0.00,142,     1.00,     0.00,141,     1.00,     0.00,149,     1.00,     0.00,38,     1.00,     0.00,110,     1.00,     0.00,103,     1.00,     0.00,39
