,Treat X Post X Second-tier,Second-tier Funded vs Non-funded,First-tier Funded vs Non-funded,Funded Second-tier vs First-tier,Non-funded Second-tier vs First-tier,N (Departments)
,[1],[2],[3],[4],[5],
New positions,2.249**,2.248**,-0.001,1.426*,-0.823,290
,[0.811],[0.677],[0.489],[0.716],[0.502],
New positions (excl. promotions),1.239*,1.655**,0.417,1.012**,-0.227,290
,[0.489],[0.373],[0.335],[0.385],[0.326],
Internal promotions,1.060*,0.521,-0.539,0.444,-0.617,290
,[0.514],[0.368],[0.373],[0.400],[0.375],
Temporary,0.296,0.643**,0.347,0.518*,0.222,290
,[0.314],[0.230],[0.223],[0.234],[0.238],
Tenure track,1.045**,0.859**,-0.187,0.620**,-0.425*,290
,[0.249],[0.188],[0.169],[0.198],[0.174],
Tenured,0.430+,0.464*,0.034,0.244,-0.186,290
,[0.248],[0.196],[0.151],[0.207],[0.158],
